phone	U+1F4DE
mobile	U+1F4F1
mouse	U+E789
address	U+E723
mail	U+2709
paper-plane	U+1F53F
pencil	U+270E
feather	U+2712
attach	U+1F4CE
inbox	U+E777
reply	U+E712
reply-all	U+E713
forward	U+27A6
user	U+1F464
users	U+1F465
add-user	U+E700
vcard	U+E722
export	U+E715
location	U+E724
map	U+E727
compass	U+E728
direction	U+27A2
hair-cross	U+1F3AF
share	U+E73C
shareable	U+E73E
heart	U+2665
heart-empty	U+2661
star	U+2605
star-empty	U+2606
thumbs-up	U+1F44D
thumbs-down	U+1F44E
chat	U+E720
comment	U+E718
quote	U+275E
home	U+2302
popup	U+E74C
search	U+1F50D
flashlight	U+1F526
print	U+E716
bell	U+1F514
link	U+1F517
flag	U+2691
cog	U+2699
tools	U+2692
trophy	U+1F3C6
tag	U+E70C
camera	U+1F4F7
megaphone	U+1F4E3
moon	U+263D
palette	U+1F3A8
leaf	U+1F342
note	U+266A
beamed-note	U+266B
new	U+1F4A5
graduation-cap	U+1F393
book	U+1F4D5
newspaper	U+1F4F0
bag	U+1F45C
airplane	U+2708
lifebuoy	U+E788
eye	U+E70A
clock	U+1F554
mic	U+1F3A4
calendar	U+1F4C5
flash	U+26A1
thunder-cloud	U+26C8
droplet	U+1F4A7
cd	U+1F4BF
briefcase	U+1F4BC
air	U+1F4A8
hourglass	U+23F3
gauge	U+1F6C7
language	U+1F394
network	U+E776
key	U+1F511
battery	U+1F50B
bucket	U+1F4FE
magnet	U+E7A1
drive	U+1F4FD
cup	U+2615
rocket	U+1F680
brush	U+E79A
suitcase	U+1F6C6
traffic-cone	U+1F6C8
globe	U+1F30E
keyboard	U+2328
browser	U+E74E
publish	U+E74D
progress-3	U+E76B
progress-2	U+E76A
progress-1	U+E769
progress-0	U+E768
light-down	U+1F505
light-up	U+1F506
adjust	U+25D1
code	U+E714
monitor	U+1F4BB
infinity	U+221E
light-bulb	U+1F4A1
credit-card	U+1F4B3
database	U+1F4F8
voicemail	U+2707
clipboard	U+1F4CB
cart	U+E73D
box	U+1F4E6
ticket	U+1F3AB
rss	U+E73A
signal	U+1F4F6
thermometer	U+1F4FF
water	U+1F4A6
sweden	U+F601
line-graph	U+1F4C8
pie-chart	U+25F4
bar-graph	U+1F4CA
area-graph	U+1F53E
lock	U+1F512
lock-open	U+1F513
logout	U+E741
login	U+E740
check	U+2713
cross	U+274C
squared-minus	U+229F
squared-plus	U+229E
squared-cross	U+274E
circled-minus	U+2296
circled-plus	U+2295
circled-cross	U+2716
minus	U+2796
plus	U+2795
erase	U+232B
block	U+1F6AB
info	U+2139
circled-info	U+E705
help	U+2753
circled-help	U+E704
warning	U+26A0
cycle	U+1F504
cw	U+27F3
ccw	U+27F2
shuffle	U+1F500
back	U+1F519
level-down	U+21B3
retweet	U+E717
loop	U+1F501
back-in-time	U+E771
level-up	U+21B0
switch	U+21C6
numbered-list	U+E005
add-to-list	U+E003
layout	U+268F
list	U+2630
text-doc	U+1F4C4
text-doc-inverted	U+E731
doc	U+E730
docs	U+E736
landscape-doc	U+E737
picture	U+1F304
video	U+1F3AC
music	U+1F3B5
folder	U+1F4C1
archive	U+E800
trash	U+E729
upload	U+1F4E4
download	U+1F4E5
save	U+1F4BE
install	U+E778
cloud	U+2601
upload-cloud	U+E711
bookmark	U+1F516
bookmarks	U+1F4D1
open-book	U+1F4D6
play	U+25B6
paus	U+2016
record	U+25CF
stop	U+25A0
ff	U+23E9
fb	U+23EA
to-start	U+23EE
to-end	U+23ED
resize-full	U+E744
resize-small	U+E746
volume	U+23F7
sound	U+1F50A
mute	U+1F507
flow-cascade	U+1F568
flow-branch	U+1F569
flow-tree	U+1F56A
flow-line	U+1F56B
flow-parallel	U+1F56C
left-bold	U+E4AD
down-bold	U+E4B0
up-bold	U+E4AF
right-bold	U+E4AE
left	U+2B05
down	U+2B07
up	U+2B06
right	U+27A1
circled-left	U+E759
circled-down	U+E758
circled-up	U+E75B
circled-right	U+E75A
triangle-left	U+25C2
triangle-down	U+25BE
triangle-up	U+25B4
triangle-right	U+25B8
chevron-left	U+E75D
chevron-down	U+E75C
chevron-up	U+E75F
chevron-right	U+E75E
chevron-small-left	U+E761
chevron-small-down	U+E760
chevron-small-up	U+E763
chevron-small-right	U+E762
chevron-thin-left	U+E765
chevron-thin-down	U+E764
chevron-thin-up	U+E767
chevron-thin-right	U+E766
left-thin	U+2190
down-thin	U+2193
up-thin	U+2191
right-thin	U+2192
arrow-combo	U+E74F
three-dots	U+23F6
two-dots	U+23F5
dot	U+23F4
cc	U+1F545
cc-by	U+1F546
cc-nc	U+1F547
cc-nc-eu	U+1F548
cc-nc-jp	U+1F549
cc-sa	U+1F54A
cc-nd	U+1F54B
cc-pd	U+1F54C
cc-zero	U+1F54D
cc-share	U+1F54E
cc-remix	U+1F54F
db-logo	U+1F5F9
db-shape	U+1F5FA